indic_ed,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
FP01_1,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: d	: 	: 	: 	: 	: 	: 
FP01_1,AT	5.80 	5.91 	5.98 	5.47 	5.33 	5.40 	5.44 	5.48 	5.53 	5.68 	5.74 	5.66 	: 	: 	: 	: 
FP01_1,BE	6.55 d	6.58 d	6.57 d	6.43 d	6.00 d	5.98 d	5.92 d	5.95 d	6.02 d	6.09 d	5.99 d	: u	: 	: 	: 	: 
FP01_1,BG	3.82 	4.10 	4.58 	4.44 	3.88 	4.04 	4.25 	4.40 	4.09 	3.94 	3.70 	4.19 	: 	: 	: 	: 
FP01_1,CH	5.28 	5.22 	5.36 	4.95 	4.88 	5.28 	5.52 	5.55 	5.72 	5.57 	5.25 	5.06 	: 	: 	: 	: 
FP01_1,CY	7.87 d	7.92 d	7.98 d	7.45 d	6.95 d	7.02 d	6.95 d	6.77 d	7.37 d	6.60 d	5.98 d	5.44 d	: 	: 	: 	: 
FP01_1,CZ	4.51 	4.24 	4.36 	3.92 	4.05 	4.42 	4.08 	4.20 	4.32 	4.15 	3.93 	3.83 	: 	: 	: 	: 
FP01_1,DE	4.98 	5.08 	5.06 	4.57 	4.49 	4.43 	4.57 	4.62 	4.74 	4.72 	4.51 	4.5 	: 	: 	: 	: 
FP01_1,DK	8.75 d	8.81 d	8.74 d	7.68 d	7.81 d	7.97 d	8.30 d	8.43 	8.33 	8.44 d	8.44 d	8.28 d	: 	: 	: 	: 
FP01_1,EE	5.16 	5.66 	6.03 	5.61 	4.72 d	4.70 	4.88 	4.92 	5.29 	5.47 	5.24 	5.57 d	: 	: 	: 	: 
FP01_1,EL	: 	: 	: 	: 	: 	: 	4.09 	3.83 d	3.56 d	3.57 d	3.50 d	3.7 d	: 	: 	: 	: 
FP01_1,ES	4.82 	4.98 	5.02 	4.62 	4.34 	4.26 	4.23 	4.25 	4.28 	4.25 	4.24 	4.28 	: 	: 	: 	: 
FP01_1,FI	6.76 	6.85 	6.81 	6.10 	5.90 	6.18 	6.30 	6.42 	6.43 	6.22 	6.06 	6.08 	: 	: 	: 	: 
FP01_1,FR	5.68 	5.86 	5.90 	5.62 	5.62 	5.61 	5.67 	5.80 	5.92 	5.90 	5.95 	6.04 	: 	: 	: 	: 
FP01_1,HR	4.21 d	4.31 d	4.42 d	4.32 d	4.02 d	4.04 d	3.98 d	3.87 	3.93 d	3.71 d	: 	: 	: 	: 	: 	: 
FP01_1,HU	4.71 	4.90 	5.12 	5.10 	5.29 	5.44 	5.46 	5.44 	5.91 	5.39 	5.06 	4.50 	: 	: 	: 	: 
FP01_1,IE	6.15 	6.41 	6.43 	5.67 	4.92 	4.73 	4.72 	4.66 	4.35 	4.27 	4.24 	4.29 	: 	: 	: 	: 
FP01_1,IS	7.36 d	7.60 d	7.81 d	7.56 d	7.36 d	7.55 d	7.59 d	7.47 d	7.70 d	6.79 d	6.24 d	5.93 d	: 	: 	: 	: 
FP01_1,IT	4.29 	4.50 	4.70 	4.56 	4.27 	4.67 	4.41 	4.56 	4.72 	4.60 	4.83 	4.52 	: 	: 	: 	: 
FP01_1,LI	: 	2.68 	2.90 	2.05 d	1.92 	2.05 	2.29 	2.43 	2.46 	2.96 	: 	: 	: 	: 	: 	: 
FP01_1,LT	5.17 	5.38 	5.64 	4.88 	4.64 	4.82 	4.88 	5.17 	5.14 	5.81 	5.86 	5.6 	: 	: 	: 	: 
FP01_1,LU	: 	: 	: 	: 	3.15 d	3.41 d	3.78 d	3.87 d	3.77 d	3.79 d	3.75 d	: 	: 	: 	: 	: 
FP01_1,LV	4.96 	4.96 	5.59 	5.71 	5.07 	5.13 	5.14 	5.12 	5.58 	6.60 	7.22 	5.64 	: 	: 	: 	: 
FP01_1,MK	: 	: 	: 	: 	: 	: 	: 	: 	3.30 d	3.35 d	: 	: 	: 	: 	: 	: 
FP01_1,MT	8.04 	6.74 	5.32 	5.72 d	6.18 	6.45 	6.58 b	4.66 	4.48 	4.22 	4.27 	4.52 	: 	: 	: 	: 
FP01_1,NL	5.93 	5.98 	5.95 	5.50 	5.32 	5.50 	5.53 	5.50 	5.47 	5.22 	5.09 	4.98 	4.90 	4.82 	4.78 	5.03 
FP01_1,NO	6.66 	6.87 	7.24 	6.40 	6.66 	6.49 	6.97 	7.42 	7.55 	7.58 d	7.18 d	6.81 d	: 	: 	: 	: 
FP01_1,PL	4.94 	5.17 d	5.09 d	5.08 d	4.91 d	5.25 d	5.47 d	5.41 d	5.35 d	5.41 d	5.42 d	4.87 d	: 	: 	: 	: 
FP01_1,PT	5.27 d	5.62 d	5.79 d	4.89 d	5.10 d	5.07 d	5.21 d	5.10 d	5.38 d	5.33 d	5.39 d	5.42 d	: 	: 	: 	: 
FP01_1,RO	3.07 	3.53 	4.24 	: u	4.25 	: u	3.48 	3.28 	3.45 	3.51 	3.25 	2.88 	: 	: 	: 	: 
FP01_1,SE	6.82 	6.98 	7.26 	6.76 	6.61 	6.75 	6.89 	7.09 	7.21 	7.36 	7.06 	7.31 	: 	: 	: 	: 
FP01_1,SI	5.68 	5.68 	5.69 	5.20 	5.15 	5.72 	5.73 	5.74 	5.80 	5.76 	5.86 	: 	: 	: 	: 	: 
FP01_1,SK	4.06 d	4.22 d	4.09 d	3.61 d	3.62 d	3.80 d	3.85 d	4.19 d	4.30 d	4.31 d	3.99 d	4.15 d	: 	: 	: 	: 
FP01_1,TR	4.07 	: 	: 	: 	: 	2.82 	: 	3.07 	2.91 d	2.75 d	2.58 d	3.48 d	: 	: 	: 	: 
FP01_1,UK	5.98 d	6.15 d	5.56 d	5.34 d	5.29 d	5.38 d	5.31 d	5.12 d	5.21 d	5.06 d	4.58 d	4.64 d	: 	: 	: 	: 
FP05_1,AT	0.51 	0.52 	0.50 	0.50 	0.47 	0.59 	0.47 	0.39 	0.30 	0.38 	0.32 	0.33 	: 	: 	: 	: 
FP05_1,BE	0.32 d	0.34 d	0.38 d	0.37 d	0.34 d	0.34 d	0.35 d	0.34 d	0.35 d	0.36 d	0.36 d	0.43 d	: 	: 	: 	: 
FP05_1,BG	0.65 	0.63 	0.66 	0.56 	0.58 	0.62 	0.58 	0.62 	0.65 	0.67 d	0.68 d	0.77 	: 	: 	: 	: 
FP05_1,CH	0.48 	0.48 	0.58 d	0.54 d	0.53 d	0.54 	0.55 	0.56 	0.61 	0.60 	0.54 	0.43 	: 	: 	: 	: 
FP05_1,CY	1.70 	1.61 	1.53 	1.36 	1.27 	1.21 	1.21 	1.18 	1.36 	1.41 	1.25 	1.72 	: 	: 	: 	: 
FP05_1,CZ	0.59 	0.57 	0.57 	0.55 	0.50 	0.53 	0.55 	0.58 	0.36 	0.23 	0.39 	0.40 	: 	: 	: 	: 
FP05_1,DE	0.69 	0.74 	0.80 	0.70 	0.69 	0.71 	0.92 	0.92 	0.92 	0.88 	0.97 	1.0 	: 	: 	: 	: 
FP05_1,DK	0.43 	0.44 	0.33 	0.55 	0.53 	0.58 	0.57 	0.32 d	0.32 d	0.28 d	0.27 d	0.27 d	: 	: 	: 	: 
FP05_1,EE	0.33 d	0.41 d	0.36 d	0.30 d	0.31 d	0.34 	0.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP05_1,EL	: 	: 	: 	: 	: 	: 	0.26 	0.19 	0.20 	0.17 d	0.21 d	0.2 d	: 	: 	: 	: 
FP05_1,ES	0.85 	0.82 d	0.72 d	0.66 d	0.61 d	0.52 	0.53 	0.61 	0.54 	0.54 	0.57 	0.60 	: 	: 	: 	: 
FP05_1,FI	0.15 	0.15 	0.16 	0.15 	0.14 	0.15 	0.13 	0.13 	0.13 	0.13 	0.12 	0.12 	: 	: 	: 	: 
FP05_1,FR	0.65 	0.64 	0.61 	0.60 	0.54 	0.54 	0.55 	0.55 	0.56 	0.56 	0.56 	0.56 	: 	: 	: 	: 
FP05_1,HR	0.40 d	0.27 d	0.37 d	0.36 d	0.35 	0.38 	0.28 	: 	: 	0.13 d	: 	: 	: 	: 	: 	: 
FP05_1,HU	: z	: z	: z	: z	: z	0.54 	0.49 	0.52 	0.56 	0.55 	0.56 	0.58 	: 	: 	: 	: 
FP05_1,IE	0.47 d	0.48 d	0.36 d	0.34 d	0.24 d	0.28 	0.29 	0.32 	0.31 	0.28 	0.34 	0.42 	: 	: 	: 	: 
FP05_1,IS	0.74 d	0.75 d	0.74 d	0.71 d	0.77 d	0.81 d	0.72 d	0.74 d	0.70 d	0.57 d	0.53 d	0.56 d	: 	: 	: 	: 
FP05_1,IT	0.49 	0.46 	0.45 	0.41 	0.39 	0.37 	0.40 	0.42 	0.39 	0.35 	0.31 	0.43 	: 	: 	: 	: 
FP05_1,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
FP05_1,LT	0.65 	0.69 	0.66 	0.51 	0.45 	0.46 	0.49 	0.47 	0.46 	: 	: 	: 	: 	: 	: 	: 
FP05_1,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
FP05_1,LV	0.62 	0.57 	0.58 	0.60 	0.56 	0.66 	0.77 	0.82 	0.87 	0.95 d	0.96 d	0.63 d	: 	: 	: 	: 
FP05_1,MT	1.28 	1.31 	1.32 	0.30 	0.37 	0.37 	0.37 b	0.43 	1.33 	0.59 	0.81 	0.47 d	: 	: 	: 	: 
FP05_1,NL	1.09 	1.04 	1.02 	0.94 	0.90 	0.88 	0.91 	0.95 	0.91 	0.88 	0.83 	0.82 	0.83 	0.45 	0.46 	0.50 
FP05_1,NO	0.10 d	0.10 d	0.11 d	0.09 d	: 	: 	: d	0.05 d	0.10 d	0.26 	0.25 	0.08 d	: 	: 	: 	: 
FP05_1,PL	0.70 	0.80 d	0.77 d	0.74 d	0.50 d	0.54 d	0.55 d	0.59 d	0.66 d	0.64 d	: 	: 	: 	: 	: 	: 
FP05_1,PT	0.40 	0.43 	0.38 d	0.49 d	0.44 d	0.43 d	0.41 d	0.13 d	0.09 d	0.08 d	0.08 d	0.08 d	: 	: 	: 	: 
FP05_1,RO	0.11 	0.12 	0.11 	: u	0.50 	: u	0.40 	: 	: 	0.16 d	0.21 d	0.25 d	: 	: 	: 	: 
FP05_1,SE	0.17 	0.16 	0.18 	0.17 	0.16 	0.17 	0.19 	0.19 	0.19 	0.17 	0.20 	0.20 	: 	: 	: 	: 
